[18:09:54] === session 2026-08-23 | cap 11ms pipe=0 ===
[18:13:05] [xiii-perf] present=324 captured=300 skipped=24 (cap 11ms pipe=0) | us avg/max: copy=1553/5098 lock=0/1 decode=870/2911 submit=393/1688
[18:13:10] [xiii-perf] present=324 captured=307 skipped=17 (cap 11ms pipe=0) | us avg/max: copy=1520/5792 lock=0/4 decode=866/2908 submit=416/2418
[18:13:15] [xiii-perf] present=326 captured=316 skipped=10 (cap 11ms pipe=0) | us avg/max: copy=1201/4697 lock=0/1 decode=789/2283 submit=400/1538
[18:13:20] [xiii-perf] present=325 captured=314 skipped=11 (cap 11ms pipe=0) | us avg/max: copy=1126/4171 lock=0/1 decode=780/1942 submit=441/2871
[18:13:25] [xiii-perf] present=326 captured=316 skipped=10 (cap 11ms pipe=0) | us avg/max: copy=1213/3468 lock=0/1 decode=791/2681 submit=411/1556
[18:13:30] [xiii-perf] present=324 captured=316 skipped=8 (cap 11ms pipe=0) | us avg/max: copy=1223/4707 lock=0/1 decode=782/1654 submit=411/1951
[18:13:35] [xiii-perf] present=252 captured=248 skipped=4 (cap 11ms pipe=0) | us avg/max: copy=1148/3398 lock=0/2 decode=800/2026 submit=413/1081
[18:13:40] [xiii-perf] present=287 captured=278 skipped=9 (cap 11ms pipe=0) | us avg/max: copy=1209/35338 lock=0/13 decode=783/1925 submit=438/1726
[18:13:45] [xiii-perf] present=328 captured=308 skipped=20 (cap 11ms pipe=0) | us avg/max: copy=1242/5351 lock=0/1 decode=809/2678 submit=409/1216
[18:13:50] [xiii-perf] present=325 captured=315 skipped=10 (cap 11ms pipe=0) | us avg/max: copy=1162/5404 lock=0/1 decode=804/2515 submit=460/1585
[18:13:55] [xiii-perf] present=325 captured=312 skipped=13 (cap 11ms pipe=0) | us avg/max: copy=1123/4804 lock=0/1 decode=803/2731 submit=421/2837
[18:14:00] [xiii-perf] present=325 captured=308 skipped=17 (cap 11ms pipe=0) | us avg/max: copy=1125/5231 lock=0/1 decode=809/4393 submit=460/2264
[18:14:05] [xiii-perf] present=325 captured=307 skipped=18 (cap 11ms pipe=0) | us avg/max: copy=1199/5082 lock=0/1 decode=787/2213 submit=438/1927
[18:14:10] [xiii-perf] present=326 captured=313 skipped=13 (cap 11ms pipe=0) | us avg/max: copy=1199/4524 lock=0/1 decode=797/2272 submit=428/1580
[18:14:15] [xiii-perf] present=325 captured=308 skipped=17 (cap 11ms pipe=0) | us avg/max: copy=1237/5463 lock=0/6 decode=806/2600 submit=427/2140
[18:14:20] [xiii-perf] present=324 captured=312 skipped=12 (cap 11ms pipe=0) | us avg/max: copy=1233/5739 lock=0/1 decode=797/2444 submit=419/2594
[18:14:25] [xiii-perf] present=324 captured=313 skipped=11 (cap 11ms pipe=0) | us avg/max: copy=1143/5112 lock=0/1 decode=791/3077 submit=472/1700
[18:14:30] [xiii-perf] present=326 captured=306 skipped=20 (cap 11ms pipe=0) | us avg/max: copy=1382/5601 lock=0/9 decode=820/2358 submit=508/2944
[18:14:35] [xiii-perf] present=327 captured=311 skipped=16 (cap 11ms pipe=0) | us avg/max: copy=1222/4700 lock=0/1 decode=775/1871 submit=376/1794
[18:14:40] [xiii-perf] present=328 captured=309 skipped=19 (cap 11ms pipe=0) | us avg/max: copy=1222/5675 lock=0/1 decode=781/2319 submit=384/1324
[18:14:45] [xiii-perf] present=325 captured=312 skipped=13 (cap 11ms pipe=0) | us avg/max: copy=1143/3683 lock=0/6 decode=789/2668 submit=408/1651
[18:14:50] [xiii-perf] present=324 captured=309 skipped=15 (cap 11ms pipe=0) | us avg/max: copy=1202/5219 lock=0/1 decode=807/4420 submit=443/3397
[18:14:55] [xiii-perf] present=323 captured=312 skipped=11 (cap 11ms pipe=0) | us avg/max: copy=1240/5481 lock=0/16 decode=814/2567 submit=398/1406
[18:15:00] [xiii-perf] present=325 captured=307 skipped=18 (cap 11ms pipe=0) | us avg/max: copy=1238/5556 lock=0/1 decode=781/2712 submit=376/1016
[18:15:05] [xiii-perf] present=308 captured=291 skipped=17 (cap 11ms pipe=0) | us avg/max: copy=1330/36939 lock=0/1 decode=779/1930 submit=402/1634
[18:15:10] [xiii-perf] present=328 captured=300 skipped=28 (cap 11ms pipe=0) | us avg/max: copy=1174/3748 lock=0/2 decode=783/2446 submit=429/2648
[18:15:15] [xiii-perf] present=325 captured=315 skipped=10 (cap 11ms pipe=0) | us avg/max: copy=1128/4828 lock=0/6 decode=776/2035 submit=381/1856
[18:15:20] [xiii-perf] present=329 captured=302 skipped=27 (cap 11ms pipe=0) | us avg/max: copy=1355/4802 lock=0/3 decode=815/2606 submit=386/1775
[18:15:25] [xiii-perf] present=324 captured=309 skipped=15 (cap 11ms pipe=0) | us avg/max: copy=1216/4759 lock=0/1 decode=786/3079 submit=402/2456
[18:15:30] [xiii-perf] present=324 captured=307 skipped=17 (cap 11ms pipe=0) | us avg/max: copy=1171/4612 lock=0/1 decode=785/2922 submit=400/2791
[18:15:35] [xiii-perf] present=327 captured=306 skipped=21 (cap 11ms pipe=0) | us avg/max: copy=1186/4590 lock=0/1 decode=783/2172 submit=385/3074
[18:15:40] [xiii-perf] present=325 captured=311 skipped=14 (cap 11ms pipe=0) | us avg/max: copy=1283/5379 lock=0/1 decode=777/1777 submit=397/2319
[18:15:45] [xiii-perf] present=329 captured=298 skipped=31 (cap 11ms pipe=0) | us avg/max: copy=1435/5503 lock=0/1 decode=873/2510 submit=445/2965
[18:15:50] [xiii-perf] present=327 captured=301 skipped=26 (cap 11ms pipe=0) | us avg/max: copy=1435/5547 lock=0/1 decode=866/2616 submit=436/1641
[18:15:55] [xiii-perf] present=331 captured=296 skipped=35 (cap 11ms pipe=0) | us avg/max: copy=1400/5493 lock=0/1 decode=864/3052 submit=459/2332
